model,expid,variable,value
data,3,diff,0.235294117647059
data,4,diff,0.263157894736842
data,5,diff,0.052631578947368
data,6,diff,-0.1
data,7,diff,-0.052631578947368
data,8,diff,0.117647058823529
data,9,diff,-0.095238095238095
data,10,diff,0.222222222222222
data,11,diff,-0.157894736842105
data,12,diff,0
data,13,diff,-0.052631578947369
data,14,diff,-0.157894736842105
data,15,diff,0.052631578947369
data,16,diff,0.181818181818182
data,17,diff,-0.095238095238095
data,18,diff,-0.294117647058824
data,19,diff,0
data,20,diff,-0.142857142857143
data,21,diff,0.043478260869565
data,22,diff,-0.105263157894737
data,23,diff,0.055555555555556
data,24,diff,0
data,25,diff,-0.117647058823529
data,26,diff,-0.15
MB,3,diff,0.076470588235294
DB1,3,diff,0.082352941176471
DB6,3,diff,0.064705882352941
VS,3,diff,0.023529411764706
MB,4,diff,0.126315789473684
DB1,4,diff,0.173684210526316
DB6,4,diff,0.136842105263158
VS,4,diff,0.142105263157895
MB,5,diff,0.010526315789474
DB1,5,diff,0.036842105263158
DB6,5,diff,0.026315789473684
VS,5,diff,0.010526315789474
MB,6,diff,-0.095
DB1,6,diff,-0.07
DB6,6,diff,-0.065
VS,6,diff,-0.08
MB,7,diff,-0.026315789473684
DB1,7,diff,0.042105263157895
DB6,7,diff,-0.047368421052632
VS,7,diff,0.010526315789474
MB,8,diff,0.105882352941176
DB1,8,diff,0.105882352941176
DB6,8,diff,0.141176470588235
VS,8,diff,0.105882352941177
MB,9,diff,-0.004761904761905
DB1,9,diff,-0.028571428571429
DB6,9,diff,-0.038095238095238
VS,9,diff,-0.042857142857143
MB,10,diff,0.183333333333333
DB1,10,diff,0.261111111111111
DB6,10,diff,0.088888888888889
VS,10,diff,0.133333333333333
MB,11,diff,-0.010526315789474
DB1,11,diff,-0.021052631578947
DB6,11,diff,-0.031578947368421
VS,11,diff,-0.036842105263158
MB,12,diff,-0.026315789473684
DB1,12,diff,0.1
DB6,12,diff,0.010526315789474
VS,12,diff,-0.015789473684211
MB,13,diff,-0.163157894736842
DB1,13,diff,-0.110526315789474
DB6,13,diff,-0.121052631578947
VS,13,diff,-0.121052631578947
MB,14,diff,-0.1
DB1,14,diff,-0.073684210526316
DB6,14,diff,-0.068421052631579
VS,14,diff,-0.078947368421053
MB,15,diff,0.015789473684211
DB1,15,diff,-0.031578947368421
DB6,15,diff,0.015789473684211
VS,15,diff,-0.010526315789474
MB,16,diff,0.227272727272727
DB1,16,diff,0.204545454545454
DB6,16,diff,0.15
VS,16,diff,0.277272727272727
MB,17,diff,0.019047619047619
DB1,17,diff,0.023809523809524
DB6,17,diff,-0.014285714285714
VS,17,diff,-0.023809523809524
MB,18,diff,-0.076470588235294
DB1,18,diff,-0.058823529411765
DB6,18,diff,-0.070588235294118
VS,18,diff,-0.076470588235294
MB,19,diff,-0.00625
DB1,19,diff,0.04375
DB6,19,diff,0.0625
VS,19,diff,0.00625
MB,20,diff,-0.109523809523809
DB1,20,diff,0.019047619047619
DB6,20,diff,-0.114285714285714
VS,20,diff,-0.138095238095238
MB,21,diff,-0.01304347826087
DB1,21,diff,0.026086956521739
DB6,21,diff,0.008695652173913
VS,21,diff,0.043478260869565
MB,22,diff,0.015789473684211
DB1,22,diff,0.010526315789474
DB6,22,diff,-0.010526315789474
VS,22,diff,0.026315789473684
MB,23,diff,-0.066666666666667
DB1,23,diff,0.038888888888889
DB6,23,diff,0.033333333333333
VS,23,diff,-0.016666666666667
MB,24,diff,-0.1
DB1,24,diff,0
DB6,24,diff,-0.068421052631579
VS,24,diff,-0.094736842105263
MB,25,diff,0.023529411764706
DB1,25,diff,-0.01764705882353
DB6,25,diff,-0.005882352941177
VS,25,diff,0.005882352941176
MB,26,diff,0.005
DB1,26,diff,-0.01
DB6,26,diff,-0.025
VS,26,diff,-0.01
