exp,expid,cond,alpha_i
exp1,3,skilled,0.0042390136
exp1,4,skilled,0.049787894125
exp1,5,skilled,0.0028688662375
exp1,6,skilled,0.04779855975
exp1,7,skilled,0.7301366075425
exp1,8,skilled,0.00182658995
exp1,9,skilled,0.0135209795
exp1,10,skilled,0.0585075105
exp1,11,skilled,0.5835827220875
exp1,12,skilled,0.086704265
exp1,13,skilled,0.1183129975
exp1,14,skilled,0.042175247625
exp1,15,skilled,0.011327235375
exp1,16,skilled,0.055570939375
exp1,17,skilled,0.07555999375
exp1,18,skilled,0.059460962125
exp1,19,skilled,0.04736479775
exp1,20,skilled,0.014096133625
exp1,21,skilled,0.042835505375
exp1,22,skilled,0.0018579342125
exp1,23,skilled,0.063146162
exp1,24,skilled,0.0661204885
exp1,25,skilled,0.021840755125
exp1,26,skilled,0.033639634
exp1,3,unskilled,0.0016720528125
exp1,4,unskilled,0.01906185825
exp1,5,unskilled,0.00112468055
exp1,6,unskilled,0.0194392715
exp1,7,unskilled,0.427237704924275
exp1,8,unskilled,0.000692594875
exp1,9,unskilled,0.00674493025
exp1,10,unskilled,0.024116672375
exp1,11,unskilled,0.351540917559875
exp1,12,unskilled,0.04045718125
exp1,13,unskilled,0.055911165
exp1,14,unskilled,0.01544414625
exp1,15,unskilled,0.005569217625
exp1,16,unskilled,0.03080789175
exp1,17,unskilled,0.05215421125
exp1,18,unskilled,0.021373766375
exp1,19,unskilled,0.01822230375
exp1,20,unskilled,0.00568752425
exp1,21,unskilled,0.019659279625
exp1,22,unskilled,0.0009311365125
exp1,23,unskilled,0.02638212075
exp1,24,unskilled,0.030568577
exp1,25,unskilled,0.0104151545
exp1,26,unskilled,0.02191511
