exp,group,criterion,model,param,id,param_estimate
exp1,skilled,lpp,VS,alpha_i,3,0.421100730074786
exp1,skilled,lpp,VS,alpha_i,4,0.075322327063721
exp1,skilled,lpp,VS,alpha_i,5,0.012572906716988
exp1,skilled,lpp,VS,alpha_i,6,0.01509638215793
exp1,skilled,lpp,VS,alpha_i,7,0.165772688772177
exp1,skilled,lpp,VS,alpha_i,8,0.003423919133431
exp1,skilled,lpp,VS,alpha_i,9,0.028746552326158
exp1,skilled,lpp,VS,alpha_i,10,0.529634830047818
exp1,skilled,lpp,VS,alpha_i,11,0.184366716130521
exp1,skilled,lpp,VS,alpha_i,12,0.285723494576096
exp1,skilled,lpp,VS,alpha_i,13,0.135466836620816
exp1,skilled,lpp,VS,alpha_i,14,0.016957143341421
exp1,skilled,lpp,VS,alpha_i,15,0.020951103220276
exp1,skilled,lpp,VS,alpha_i,16,0.620039217928504
exp1,skilled,lpp,VS,alpha_i,17,0.101071844733047
exp1,skilled,lpp,VS,alpha_i,18,0.075382495069368
exp1,skilled,lpp,VS,alpha_i,19,0.11599399534817
exp1,skilled,lpp,VS,alpha_i,20,0.02178644685662
exp1,skilled,lpp,VS,alpha_i,21,0.2261785706111
exp1,skilled,lpp,VS,alpha_i,22,0.000637882209377
exp1,skilled,lpp,VS,alpha_i,23,0.173235008140931
exp1,skilled,lpp,VS,alpha_i,24,0.076036028896447
exp1,skilled,lpp,VS,alpha_i,25,0.111378132111892
exp1,skilled,lpp,VS,alpha_i,26,0.291652267773481
exp1,unskilled,lpp,VS,alpha_i,3,0.013314828043636
exp1,unskilled,lpp,VS,alpha_i,4,0.012508662994686
exp1,unskilled,lpp,VS,alpha_i,5,0.001519205215311
exp1,unskilled,lpp,VS,alpha_i,6,0.020445284241279
exp1,unskilled,lpp,VS,alpha_i,7,0.016690302682396
exp1,unskilled,lpp,VS,alpha_i,8,0.001174158025717
exp1,unskilled,lpp,VS,alpha_i,9,0.010339552347585
exp1,unskilled,lpp,VS,alpha_i,10,0.003737630482163
exp1,unskilled,lpp,VS,alpha_i,11,0.021367822270141
exp1,unskilled,lpp,VS,alpha_i,12,0.007889532693641
exp1,unskilled,lpp,VS,alpha_i,13,0.025827923973257
exp1,unskilled,lpp,VS,alpha_i,14,0.023844496105529
exp1,unskilled,lpp,VS,alpha_i,15,0.00951731211527
exp1,unskilled,lpp,VS,alpha_i,16,0.021347721496134
exp1,unskilled,lpp,VS,alpha_i,17,0.02548122619867
exp1,unskilled,lpp,VS,alpha_i,18,0.002995521272744
exp1,unskilled,lpp,VS,alpha_i,19,0.003257154981862
exp1,unskilled,lpp,VS,alpha_i,20,0.000541729301874
exp1,unskilled,lpp,VS,alpha_i,21,0.002220664374329
exp1,unskilled,lpp,VS,alpha_i,22,0.006388932215659
exp1,unskilled,lpp,VS,alpha_i,23,0.012994519988666
exp1,unskilled,lpp,VS,alpha_i,24,0.013389377356505
exp1,unskilled,lpp,VS,alpha_i,25,0.009225951964838
exp1,unskilled,lpp,VS,alpha_i,26,0.008550041770175
