exp,crit,fitM,postM,postSEM,exdP
exp1,aic,RW,0.998771183167709,0.0001446450684,1
exp1,aic,DB,0.000447678329472,7.12755940754348E-05,0
exp1,aic,MB,0.000363553365939,4.80152763771871E-05,0
exp1,aic,VS,0.000417585136879,5.8726254296527E-05,0
