model,id,sim,real
VS,3,0.62,0.7125
VS,4,0.7225,0.7375
VS,5,0.824375,0.725
VS,6,0.75625,0.575
VS,7,0.71625,0.75
VS,8,0.773125,0.9
VS,9,0.7825,0.8
VS,10,0.66,0.7625
VS,11,0.678125,0.7
VS,12,0.63375,0.6875
VS,13,0.713125,0.8125
VS,14,0.68,0.7
VS,15,0.774375,0.625
VS,16,0.64875,0.65
VS,17,0.65875,0.7625
VS,18,0.705625,0.8375
VS,19,0.805,0.9
VS,20,0.741875,0.875
VS,21,0.6725,0.7875
VS,22,0.75125,0.7125
VS,23,0.71125,0.725
VS,24,0.75875,0.7125
VS,25,0.52875,0.5375
VS,26,0.54,0.625
