model,id,sim,real
VS,3,0.693125,0.5375
VS,4,0.87875,0.8875
VS,5,0.846875,0.7625
VS,6,0.810625,0.9
VS,7,0.86125,0.875
VS,8,0.72375,0.8125
VS,9,0.831875,0.8625
VS,10,0.800625,0.7625
VS,11,0.688125,0.75
VS,12,0.676875,0.65
VS,13,0.938125,0.9875
VS,14,0.75625,0.725
VS,15,0.846875,0.7875
VS,16,0.8125,0.8
VS,17,0.725625,0.6125
VS,18,0.76875,0.8
VS,19,0.916875,0.9375
VS,20,0.87,0.7875
VS,21,0.748125,0.8125
VS,22,0.805,0.5625
VS,23,0.873125,0.875
VS,24,0.9025,0.8375
VS,25,0.568125,0.5875
VS,26,0.558125,0.4625
