model,id,sim,real
VS,3,0.665625,0.7375
VS,4,0.794375,0.9625
VS,5,0.823125,0.8125
VS,6,0.745625,0.7
VS,7,0.773125,0.8375
VS,8,0.756875,0.8875
VS,9,0.824375,0.725
VS,10,0.66625,0.675
VS,11,0.6525,0.6
VS,12,0.629375,0.75
VS,13,0.809375,0.6
VS,14,0.75375,0.825
VS,15,0.825625,0.975
VS,16,0.66125,0.625
VS,17,0.69375,0.7
VS,18,0.724375,0.7125
VS,19,0.819375,0.825
VS,20,0.79375,0.4375
VS,21,0.7025,0.7
VS,22,0.775,0.95
VS,23,0.75375,0.7875
VS,24,0.835625,0.8375
VS,25,0.525,0.6125
VS,26,0.551875,0.5875
