model,id,sim,real
VS,15,0.550833333333333,0.633333333333333
VS,19,0.489166666666667,0.466666666666667
VS,28,0.486666666666667,0.65
VS,30,0.63,0.55
VS,31,0.67,0.766666666666667
VS,32,0.693333333333333,0.733333333333333
VS,33,0.659166666666667,0.8
VS,34,0.619166666666667,0.8
VS,35,0.615,0.533333333333333
VS,36,0.7025,0.65
VS,37,0.596666666666667,0.583333333333333
VS,38,0.576666666666667,0.616666666666667
VS,39,0.681666666666667,0.85
VS,40,0.49,0.516666666666667
VS,41,0.639166666666667,0.633333333333333
VS,42,0.605833333333333,0.533333333333333
VS,43,0.630833333333333,0.583333333333333
VS,44,0.530833333333333,0.533333333333333
VS,45,0.5225,0.533333333333333
VS,46,0.545,0.633333333333333
VS,47,0.580833333333333,0.416666666666667
VS,48,0.725833333333333,0.75
VS,49,0.674166666666667,0.75
VS,50,0.7,0.533333333333333
VS,51,0.629166666666667,0.75
VS,52,0.619166666666667,0.566666666666667
VS,53,0.63,0.683333333333333
VS,54,0.579166666666667,0.483333333333333
VS,55,0.65,0.6
VS,56,0.5425,0.616666666666667
VS,57,0.606666666666667,0.683333333333333
VS,58,0.615833333333333,0.616666666666667
VS,59,0.648333333333333,0.8
VS,60,0.61,0.633333333333333
VS,61,0.539166666666667,0.416666666666667
VS,62,0.6475,0.683333333333333
VS,63,0.6075,0.6
VS,64,0.526666666666667,0.533333333333333
VS,65,0.58,0.666666666666667
VS,66,0.505,0.416666666666667
VS,67,0.535,0.616666666666667
VS,69,0.5925,0.65
VS,70,0.568333333333333,0.566666666666667
VS,72,0.545,0.566666666666667
