exp,group,criterion,model,param,id,param_estimate
exp2,skilled,lpp,VS,beta,15,0.9062552439268
exp2,skilled,lpp,VS,beta,19,0.137823275425118
exp2,skilled,lpp,VS,beta,30,7.07866883273558
exp2,skilled,lpp,VS,beta,33,10.3627449834492
exp2,skilled,lpp,VS,beta,35,1.32020115885639
exp2,skilled,lpp,VS,beta,40,0.26669360342227
exp2,skilled,lpp,VS,beta,42,1.46782347410818
exp2,skilled,lpp,VS,beta,46,0.834624715409076
exp2,skilled,lpp,VS,beta,48,5.68199839099083
exp2,skilled,lpp,VS,beta,50,3.04051156949499
exp2,skilled,lpp,VS,beta,51,3.07176047636705
exp2,skilled,lpp,VS,beta,52,4.55355962636202
exp2,skilled,lpp,VS,beta,53,4.06196324485391
exp2,skilled,lpp,VS,beta,54,1.70283360290843
exp2,skilled,lpp,VS,beta,55,2.94222002417265
exp2,skilled,lpp,VS,beta,56,0.813685351001441
exp2,skilled,lpp,VS,beta,60,1.12179674030679
exp2,skilled,lpp,VS,beta,61,0.233548788146239
exp2,skilled,lpp,VS,beta,65,1.6722435233772
exp2,skilled,lpp,VS,beta,66,0.303416876830146
exp2,skilled,lpp,VS,beta,67,0.561054348316276
exp2,skilled,lpp,VS,beta,69,1.29623572668716
exp2,unskilled,lpp,VS,beta,28,1.96546496875605
exp2,unskilled,lpp,VS,beta,31,3.08943474145692
exp2,unskilled,lpp,VS,beta,32,8.28849112917333
exp2,unskilled,lpp,VS,beta,34,4.44859686240145
exp2,unskilled,lpp,VS,beta,36,9.27194353909129
exp2,unskilled,lpp,VS,beta,37,1.59709008615415
exp2,unskilled,lpp,VS,beta,38,1.47705333637809
exp2,unskilled,lpp,VS,beta,39,8.66527986267329
exp2,unskilled,lpp,VS,beta,41,7.50824208837246
exp2,unskilled,lpp,VS,beta,43,1.41882804487569
exp2,unskilled,lpp,VS,beta,44,0.403119610158431
exp2,unskilled,lpp,VS,beta,45,0.530693340035408
exp2,unskilled,lpp,VS,beta,47,0.771592893656957
exp2,unskilled,lpp,VS,beta,49,9.0437728189985
exp2,unskilled,lpp,VS,beta,57,1.83032290485448
exp2,unskilled,lpp,VS,beta,58,4.18834967746833
exp2,unskilled,lpp,VS,beta,59,1.91616029815244
exp2,unskilled,lpp,VS,beta,62,4.44753410557782
exp2,unskilled,lpp,VS,beta,63,1.40194587713951
exp2,unskilled,lpp,VS,beta,64,0.923888411058255
exp2,unskilled,lpp,VS,beta,70,0.68798500033863
exp2,unskilled,lpp,VS,beta,72,0.367970054008506
