exp,group,criterion,model,param,id,param_estimate
exp1,skilled,lpp,VS,alpha_p,3,0.532573919802021
exp1,skilled,lpp,VS,alpha_p,4,0.089921163579238
exp1,skilled,lpp,VS,alpha_p,5,0.121894365030039
exp1,skilled,lpp,VS,alpha_p,6,0.049359706250113
exp1,skilled,lpp,VS,alpha_p,7,0.112600789098269
exp1,skilled,lpp,VS,alpha_p,8,0.091357910468957
exp1,skilled,lpp,VS,alpha_p,9,0.160461060052482
exp1,skilled,lpp,VS,alpha_p,10,0.110183101890369
exp1,skilled,lpp,VS,alpha_p,11,0.659438897169676
exp1,skilled,lpp,VS,alpha_p,12,0.310757150509393
exp1,skilled,lpp,VS,alpha_p,13,0.143949330808191
exp1,skilled,lpp,VS,alpha_p,14,0.103439539117988
exp1,skilled,lpp,VS,alpha_p,15,0.144012682370238
exp1,skilled,lpp,VS,alpha_p,16,0.21716265681127
exp1,skilled,lpp,VS,alpha_p,17,0.51767567696724
exp1,skilled,lpp,VS,alpha_p,18,0.197699619976238
exp1,skilled,lpp,VS,alpha_p,19,0.170545373826472
exp1,skilled,lpp,VS,alpha_p,20,0.05390454476818
exp1,skilled,lpp,VS,alpha_p,21,0.200042855304426
exp1,skilled,lpp,VS,alpha_p,22,0.061484265303998
exp1,skilled,lpp,VS,alpha_p,23,0.122514626729076
exp1,skilled,lpp,VS,alpha_p,24,0.152159567181552
exp1,skilled,lpp,VS,alpha_p,25,0.09258086080737
exp1,skilled,lpp,VS,alpha_p,26,0.756398000777066
exp1,unskilled,lpp,VS,alpha_p,3,0.217386279679267
exp1,unskilled,lpp,VS,alpha_p,4,0.081671263426337
exp1,unskilled,lpp,VS,alpha_p,5,0.108871189773104
exp1,unskilled,lpp,VS,alpha_p,6,0.108115044124257
exp1,unskilled,lpp,VS,alpha_p,7,0.137533691675376
exp1,unskilled,lpp,VS,alpha_p,8,0.07355522566377
exp1,unskilled,lpp,VS,alpha_p,9,0.253176935245393
exp1,unskilled,lpp,VS,alpha_p,10,0.132460575577706
exp1,unskilled,lpp,VS,alpha_p,11,0.56794308688615
exp1,unskilled,lpp,VS,alpha_p,12,0.148928742554407
exp1,unskilled,lpp,VS,alpha_p,13,0.146715046145542
exp1,unskilled,lpp,VS,alpha_p,14,0.122069564424147
exp1,unskilled,lpp,VS,alpha_p,15,0.067181964003952
exp1,unskilled,lpp,VS,alpha_p,16,0.155965364587646
exp1,unskilled,lpp,VS,alpha_p,17,0.55647882541037
exp1,unskilled,lpp,VS,alpha_p,18,0.11283347133093
exp1,unskilled,lpp,VS,alpha_p,19,0.159484958476088
exp1,unskilled,lpp,VS,alpha_p,20,0.037450475154806
exp1,unskilled,lpp,VS,alpha_p,21,0.277022591166463
exp1,unskilled,lpp,VS,alpha_p,22,0.043277287704026
exp1,unskilled,lpp,VS,alpha_p,23,0.063957348447627
exp1,unskilled,lpp,VS,alpha_p,24,0.41086506386331
exp1,unskilled,lpp,VS,alpha_p,25,0.048642954616785
exp1,unskilled,lpp,VS,alpha_p,26,0.221941777412202
