exp,group,criterion,model,param,id,param_estimate
exp1,skilled,lpp,VS,kappa,3,0.576173696759763
exp1,skilled,lpp,VS,kappa,4,0.33979206960059
exp1,skilled,lpp,VS,kappa,5,0.181012167793007
exp1,skilled,lpp,VS,kappa,6,0.371219577759485
exp1,skilled,lpp,VS,kappa,7,0.445968829776381
exp1,skilled,lpp,VS,kappa,8,0.281870613001635
exp1,skilled,lpp,VS,kappa,9,0.581021548613721
exp1,skilled,lpp,VS,kappa,10,-0.197535631818496
exp1,skilled,lpp,VS,kappa,11,0.532366102627585
exp1,skilled,lpp,VS,kappa,12,-0.349639889442792
exp1,skilled,lpp,VS,kappa,13,0.26454675507621
exp1,skilled,lpp,VS,kappa,14,0.118298219535701
exp1,skilled,lpp,VS,kappa,15,0.128576705030743
exp1,skilled,lpp,VS,kappa,16,0.14286915899998
exp1,skilled,lpp,VS,kappa,17,-0.191728199120698
exp1,skilled,lpp,VS,kappa,18,0.507509723155184
exp1,skilled,lpp,VS,kappa,19,0.180961551034497
exp1,skilled,lpp,VS,kappa,20,0.200113215000231
exp1,skilled,lpp,VS,kappa,21,0.184820908369542
exp1,skilled,lpp,VS,kappa,22,0.22412699186322
exp1,skilled,lpp,VS,kappa,23,0.239581367718775
exp1,skilled,lpp,VS,kappa,24,0.198825021001457
exp1,skilled,lpp,VS,kappa,25,0.065073531864059
exp1,skilled,lpp,VS,kappa,26,0.700036662566318
exp1,unskilled,lpp,VS,kappa,3,0.196144387324019
exp1,unskilled,lpp,VS,kappa,4,0.206218461197818
exp1,unskilled,lpp,VS,kappa,5,0.253354625915945
exp1,unskilled,lpp,VS,kappa,6,0.698926855876278
exp1,unskilled,lpp,VS,kappa,7,0.591213573138215
exp1,unskilled,lpp,VS,kappa,8,0.112490733852105
exp1,unskilled,lpp,VS,kappa,9,0.835447582289525
exp1,unskilled,lpp,VS,kappa,10,0.091131830690684
exp1,unskilled,lpp,VS,kappa,11,0.642293432314139
exp1,unskilled,lpp,VS,kappa,12,-0.045518986614822
exp1,unskilled,lpp,VS,kappa,13,0.298043768561168
exp1,unskilled,lpp,VS,kappa,14,0.318220507786015
exp1,unskilled,lpp,VS,kappa,15,0.30063608015134
exp1,unskilled,lpp,VS,kappa,16,0.113993745377889
exp1,unskilled,lpp,VS,kappa,17,-0.030037680151834
exp1,unskilled,lpp,VS,kappa,18,0.227517366145136
exp1,unskilled,lpp,VS,kappa,19,0.289640805749827
exp1,unskilled,lpp,VS,kappa,20,0.145362327392657
exp1,unskilled,lpp,VS,kappa,21,0.307067852207985
exp1,unskilled,lpp,VS,kappa,22,0.109806009679515
exp1,unskilled,lpp,VS,kappa,23,0.216023045313049
exp1,unskilled,lpp,VS,kappa,24,0.70452157405436
exp1,unskilled,lpp,VS,kappa,25,0.110977707869492
exp1,unskilled,lpp,VS,kappa,26,0.255657596061055
