exp,crit,fitM,postM,postSEM,exdP
exp1,aic,RW ,0.998817051296204,0.000115907672368,1
exp1,aic,DB,0.000450008470837,7.55776652536369E-05,0
exp1,aic,MB,0.00036577342068,5.74536574227332E-05,0
exp1,aic,VS,0.000367166812279,3.92284221989971E-05,0
exp2,aic,RW ,0.561760826707162,0.062286159848914,0.8315
exp2,aic,DB,0.068301927835772,0.026656780092584,0.0004
exp2,aic,MB,0.000663576696363,0.000181990768609,0
exp2,aic,VS,0.369273668760703,0.058961199926876,0.1681
