exp,crit,fitM,postM,postSEM,exdP
exp1,aic,RW ,0.891466172799687,0.030021775175475,1
exp1,aic,DB,0.107351635700606,0.029933610177302,0
exp1,aic,MB,0.000598773437598,0.000101561775142,0
exp1,aic,VS,0.000583418062109,0.000125165426309,0
exp2,aic,RW ,0.107905154834527,0.016767623835933,0.0021
exp2,aic,DB,0.236835002826779,0.044287574226323,0.0262
exp2,aic,MB,0.053509780339607,0.016725729678663,0.0002
exp2,aic,VS,0.601750061999088,0.044635489029512,0.9715
