exp,crit,fitM,postM,postSEM,exdP
exp1,aic,MB6,0.97392349140478,0.008431479509836,1
exp1,aic,MB6+,0.02607650859522,0.008431479509836,0
exp2,aic,MB6,0.986669513357713,0.000405235659363,1
exp2,aic,MB6+,0.013330486642287,0.000405235659363,0
