model,trial,sim,real
VS,1,0.509895833333333,0.583333333333333
VS,2,0.6,0.645833333333333
VS,3,0.692708333333333,0.635416666666667
VS,4,0.73125,0.697916666666667
VS,5,0.777604166666667,0.78125
VS,6,0.790104166666667,0.71875
VS,7,0.797395833333333,0.739583333333333
VS,8,0.798958333333333,0.822916666666667
VS,9,0.8125,0.802083333333333
VS,10,0.827604166666667,0.770833333333333
VS,11,0.8296875,0.78125
VS,12,0.831770833333333,0.770833333333333
VS,13,0.828125,0.770833333333333
VS,14,0.841666666666667,0.802083333333333
VS,15,0.846354166666667,0.875
VS,16,0.841666666666667,0.864583333333333
VS,17,0.8421875,0.854166666666667
VS,18,0.840104166666667,0.802083333333333
VS,19,0.8625,0.770833333333333
VS,20,0.849479166666667,0.822916666666667
