model,trial,sim,real
VS,1,0.49280303030303,0.386363636363636
VS,2,0.525,0.484848484848485
VS,3,0.571590909090909,0.484848484848485
VS,4,0.558712121212121,0.545454545454545
VS,5,0.568181818181818,0.560606060606061
VS,6,0.564772727272727,0.598484848484849
VS,7,0.590909090909091,0.643939393939394
VS,8,0.609090909090909,0.689393939393939
VS,9,0.604545454545454,0.674242424242424
VS,10,0.618181818181818,0.643939393939394
VS,11,0.626136363636364,0.659090909090909
VS,12,0.610984848484848,0.583333333333333
VS,13,0.629166666666667,0.659090909090909
VS,14,0.627272727272727,0.734848484848485
VS,15,0.621590909090909,0.674242424242424
VS,16,0.637878787878788,0.643939393939394
VS,17,0.629166666666667,0.712121212121212
VS,18,0.633333333333333,0.681818181818182
VS,19,0.628409090909091,0.613636363636364
VS,20,0.649242424242424,0.689393939393939
