exp,crit,fitM,postM,postSEM,exdP
exp1,aic,VS,0.476302584261547,0.039607303313018,0.4133
exp1,aic,VS2,0.523697415738453,0.039607303313018,0.5867
exp2,aic,VS,0.347885493547353,0.018920573362061,0.0748
exp2,aic,VS2,0.652114506452646,0.018920573362061,0.9252
